,RFR,SVR,FFNN,GRU,LSTM
Mar ,12.297027302585416,13.045617251272223,14.188040329574306,12.881399898511805,12.397581598909028
Apr,12.288572637553472,12.565703939888888,14.261068600597223,13.27223854147361,12.936887217402777
May,13.097903281058333,14.00003880972986,15.668058987901388,13.137207137443749,13.31969694873264
Jun,13.86229984755139,13.960844173353472,16.606673649386806,14.436673160602085,13.860915479875693
Jul,11.927979426854167,11.901578987159722,13.295091294680555,13.1021617172625,12.402377512954859
Aug,14.34680864507222,15.105589311171524,16.22009173346389,14.9414658864625,14.48641367939514
Sep,15.545295542710416,16.068459827065972,17.411033202259027,16.260820387422918,15.788343116109722
Oct,15.452252828684722,16.02967448375833,17.292819166497917,15.893575429547223,15.598056205868751
Nov,16.55249256219583,17.458798636616667,17.973077205375002,16.238561019824306,15.233793368690279
Dec,18.285402369022222,20.074491189691667,21.062015066683333,18.059502760371526,16.876402465713195
Jan,16.25708587247222,16.66427773374167,18.46441607939861,16.35258014175625,15.755319846177084
Feb,13.535773314672221,13.493313128180555,15.814551937977082,14.213135881418056,13.560295110911111
